query_id,query_text,query_intent,rank,retrieved_conversation_id,retrieved_customer,retrieved_reply,score,relevant
19,"Come on gift me at least once in any of your contest #AmazonPayQuiz ,let this prime subscription worth it.☺️",subscription_or_membership,3,325857,yet another time i need something with my #prime membership and #amazon fails to deliver on time as promised. Very disappointed,I'm sorry your order is late. We are happy to look into your options with you here: ^AF,0.636,1
19,"Come on gift me at least once in any of your contest #AmazonPayQuiz ,let this prime subscription worth it.☺️",subscription_or_membership,4,258835,Wot a joke! I paid 4 #amazonprime just got an undelivered notification on an item I needed 4 2morrow &amp; I was in! #primesucks,I'm so sorry for the trouble! We'd like to look at this with you. Please call or chat with us: ^MH,0.63,1
19,"Come on gift me at least once in any of your contest #AmazonPayQuiz ,let this prime subscription worth it.☺️",subscription_or_membership,5,108295,"As a regular customer of I really wait every day for amazon app quiz, which has amazing prizes and also a genuin competition is held through it. #AmazonPayAppQuiz","Aww thank you, we appreciate the kind words. It's nice of you to follow up with a tweet. :) ^SG",0.622,1
20,I forgot to cancel my amazon membership again fuck,subscription_or_membership,1,130783,Amazon keeps fucking cancelling my order. Doesn’t even tell me why,"Hi Emi, is there a particular item that you're trying to order?^PJ",0.697,0
20,I forgot to cancel my amazon membership again fuck,subscription_or_membership,2,458936,how i cancel my order and amazon still snatch the money out my acc 😐,"We do not charge you until your order is being shipped. If you have successfully cancelled the order, you're likely seeing a pending authorization, which will be applied back to your account in accordance with the card issuer's policies for pending authorizations. ^LL",0.689,1
20,I forgot to cancel my amazon membership again fuck,subscription_or_membership,3,281954,Terrible experience with cancellation process in amazon.,"That's unacceptable indeed, we never intended this. Please fill this form: we'll get back to you.^SI",0.676,1
20,I forgot to cancel my amazon membership again fuck,subscription_or_membership,4,83467,Fucking fuck Amazon took my money and then just canceled my order and didn't return my money. What the actual fuck,Was your order canceled prior to dispatching? We only charge your account once the order dispatches. When you place an order we ask the bank to put the funds on hold (Authorize). You can find more info here: http: ^MI,0.673,1
20,I forgot to cancel my amazon membership again fuck,subscription_or_membership,5,274014,Pay via bank &amp; wait for the cancellation email. Complete waste of precious time but no one cares. #wasteoftime #Amazon #AmazonIndia #failure,Sorry about the trouble. I'll forward this feedback to the team concerned for an internal review. ^HD,0.67,1
21,"Hate—HATE—the new order tracking page. SUCKS, SUCKS, SUCKS, SUCKS.",website_or_app_ux,1,138268,worst service ever! Order not even delivered and changed the status to “Order Delivered”,"That's unusual, orders are delivered to the customer as per tracking update. I apologize for the incorrect tracking update on your order, kindly report this to our support team here: and we will get this sorted. ^VH",0.594,1
21,"Hate—HATE—the new order tracking page. SUCKS, SUCKS, SUCKS, SUCKS.",website_or_app_ux,2,430116,"Pathetic from i had to cancel my order just because i mistakenly order for a older address, worst order management",This isn't something we would request you to go through. I'll ensure to share your comments internally to work on. ^CB,0.564,1
21,"Hate—HATE—the new order tracking page. SUCKS, SUCKS, SUCKS, SUCKS.",website_or_app_ux,3,236998,worst service by Amazon. Never order again.,I'm sorry you had to face this. Please fill this form: and we'll get back to you soon. (1/2) ^SI,0.549,1
21,"Hate—HATE—the new order tracking page. SUCKS, SUCKS, SUCKS, SUCKS.",website_or_app_ux,4,142919,Ordered 2 days ago from #amazon no delivery!! No tracking! No surprise!! #hateblackfriday 🙄,"I'm so sorry for the concern, Alie! Could you please confirm the estimated delivery date originally provided in your confirmation e-mail? Please keep us posted! We want to help! ^SD",0.533,1
21,"Hate—HATE—the new order tracking page. SUCKS, SUCKS, SUCKS, SUCKS.",website_or_app_ux,5,358836,Pathetic service by for order #171-8039610-2309944 .. not able to track ur delivery partner for 1 week..,We ensure to deliver all order by the estimated time. Has the same arrived on this order? (1/2) ^CB,0.526,1
22,I have in tech improvement idea for the firestick.,website_or_app_ux,1,182624,hi can you help with firesticks?,We sure can! How can we help? ^MB,0.673,1
22,I have in tech improvement idea for the firestick.,website_or_app_ux,2,184345,Don’t buy a brand new Firestick because won’t even work correctly....I should’ve spent my money elsewhere!,I'm sorry for the trouble. We'd like to try to help. Will you please tell us more about the issue you're having? ^CO,0.638,1
22,I have in tech improvement idea for the firestick.,website_or_app_ux,3,336977,The Firestick is a piece of crap.,I'm sorry for any trouble! Will you tell us what's going on without sharing personal/account information? ^EZ,0.591,1
22,I have in tech improvement idea for the firestick.,website_or_app_ux,4,426683,Fire tv stick,Could you let us know if Prime is active on your account? ^GS,0.572,0
22,I have in tech improvement idea for the firestick.,website_or_app_ux,5,138166,Ive been watching. The firestick is on sale now so was wondering. Need device for sons room and want to upgrade mine get the tv.,We wouldn't have additional info if Fire TV will be on sale. Only Fire TV Stick is on sale at the moment. Keep an eye on the deals!^MA,0.559,1
23,really disappointed for not supporting a loyal customer. OnePlus Adapter is not present on Amazon by OnePlus . Then also saying to buy from amazon. Should I buy a duplicate charger or should not,wrong_or_damaged_item,1,400312,Ordered OnePlus5 from amazon and it has been delivered to some wrong address. Didn't expected such a big mistake from Amazon. 😣,"That's strange. We'd like to know what went wrong, please reach out to us here: &amp; we'll look into it.^SQ",0.602,1
23,really disappointed for not supporting a loyal customer. OnePlus Adapter is not present on Amazon by OnePlus . Then also saying to buy from amazon. Should I buy a duplicate charger or should not,wrong_or_damaged_item,2,274447,I got message that this phone is not in stock for replacement and u r providing a duplicate charger which can damage my phone,Sorry about that. We've sent a correspondence to your registered email address. You may reply to the email for help. ^AK,0.561,1
23,really disappointed for not supporting a loyal customer. OnePlus Adapter is not present on Amazon by OnePlus . Then also saying to buy from amazon. Should I buy a duplicate charger or should not,wrong_or_damaged_item,3,281199,Bought 1plus 5.It has battery issues but Amazon won't call back/reply to my emails. #disappointed,I'm sorry for the experience. Could you kindly contact us here: We'll sort it out right away. ^OS,0.559,1
23,really disappointed for not supporting a loyal customer. OnePlus Adapter is not present on Amazon by OnePlus . Then also saying to buy from amazon. Should I buy a duplicate charger or should not,wrong_or_damaged_item,4,5159,"The all new OnePlus 5T is here, an Amazon Exclusive. Get yours now. #ANewView",Glad to know you've booked one. I'm sure you'll have fun using it. ^NS,0.55,1
23,really disappointed for not supporting a loyal customer. OnePlus Adapter is not present on Amazon by OnePlus . Then also saying to buy from amazon. Should I buy a duplicate charger or should not,wrong_or_damaged_item,5,5159,"The all new OnePlus 5T is here, an Amazon Exclusive. Get yours now. #ANewView",You may refer to the link here: to purchase the phone :) ^PS,0.55,1
24,"Received damaged LP, wish to exchange for another copy - but website will only allow me to exchange for ANOTHER item? How does that work? I wasnt to receive the item I ordered in new condition!",wrong_or_damaged_item,1,386187,"He said I could return the item in the box of the new one, but when he tried to put through an exchange it wouldn't allow him to exchange it","Not all items are eligible for an exchange, Vicki. My apologies! Did we provide any other options for you? ^KN",0.625,1
24,"Received damaged LP, wish to exchange for another copy - but website will only allow me to exchange for ANOTHER item? How does that work? I wasnt to receive the item I ordered in new condition!",wrong_or_damaged_item,2,446863,They sent out the incorrect item and will not allow me to exchange I do not want a refund I want the item I paid for.,Some items aren't eligible for an exchange. What options were provided to you? Let us know!! ^MT,0.624,1
24,"Received damaged LP, wish to exchange for another copy - but website will only allow me to exchange for ANOTHER item? How does that work? I wasnt to receive the item I ordered in new condition!",wrong_or_damaged_item,3,309192,"When you order from , the item comes damaged and then they want you to go through the trouble of returning it.",I'm sorry the item arrived damaged! Were you able to contact us to discuss available options here: ^BH,0.599,1
24,"Received damaged LP, wish to exchange for another copy - but website will only allow me to exchange for ANOTHER item? How does that work? I wasnt to receive the item I ordered in new condition!",wrong_or_damaged_item,4,283979,I buy everything through Had to return 1 item now i want to return another but my printer is broken.......no one is helping.,"We are here to help! You can find more on returns by going here: Let us know if this helps, Diane! ^SA",0.594,1
24,"Received damaged LP, wish to exchange for another copy - but website will only allow me to exchange for ANOTHER item? How does that work? I wasnt to receive the item I ordered in new condition!",wrong_or_damaged_item,5,464381,"Enough of I am sorry , a classic trademark of perverse organizational dynamics . FULL REFUND IS THE ONLY ANSWER WHEN A SELLER DELIBERATELY SENDS A DAMAGED ITEM AND ACKNOWLEDGES IT ON THE SALES SLIP. CHECK 112-28550003-9905044. SHAME","If the order is fulfilled by a third-party seller on the site, contact the seller for the quickest resolution. If you don't receive a response from the seller within 2 business days, learn more about our A-to-z Guarantee Claim here: ^SK",0.582,0
